Прибор: ;РОСА К-2 (01); ; Интервал: ;2023-02-09 00:00:00; / ;2023-03-09 00:00:00;
Date;weather_temp;weather_pressure;weather_humidity;soil_soilT;soil_soilH;light_lux;light_blink;color_tempCT;color_redC;color_lux;color_ir;color_greenC;color_clearC;color_blueC;
2023-02-21 18:00:00;21.06;732.75;39.88;-9.56;17589;0;0;7538.95;1452;6.15;862;1574;5368;2343;
2023-02-21 18:00:59;20.99;732.77;39.81;-9.63;17594;0;0;7541.94;1276;5.34;776;1376;4712;2060;
2023-02-21 18:01:58;20.94;732.79;39.31;-9.69;17602;0;0;7550.33;1119;4.64;694;1203;4131;1809;
2023-02-21 18:02:57;20.96;732.81;39.39;-9.5;17598;0;0;7560.31;977;4.01;617;1046;3604;1582;
2023-02-21 18:03:55;20.9;732.82;39.53;-9.69;17586;0;0;7447.81;875;3.6;546;926;3191;1391;
2023-02-21 18:04:54;20.79;732.84;39.38;-9.88;17585;0;0;7458.04;763;3.12;482;806;2784;1215;
2023-02-21 18:05:54;20.73;732.85;39.7;-9.63;17605;0;0;7465.16;663;2.7;420;700;2420;1057;
2023-02-21 18:06:52;20.57;732.87;38.27;-9.63;17590;0;0;7501.63;573;2.33;363;607;2098;919;
2023-02-21 18:07:50;20.58;732.9;40.1;-9.63;17600;0;0;4031.43;4287;25.92;419;3816;11074;2971;
2023-02-21 18:08:50;20.52;732.92;39.93;-9.75;17582;0;0;3998.19;4612;28.9;152;4208;11976;3156;
2023-02-21 18:09:48;20.51;732.94;40.08;-9.81;17586;0;0;3943.43;4699;29.92;50;4314;12161;3148;
2023-02-21 18:10:47;20.49;732.94;40.7;-9.63;17589;0;0;3907.07;4617;29.7;0;4255;11921;3049;
2023-02-21 18:11:46;20.41;732.96;42.08;-9.63;17606;0;0;3857.89;4499;29.18;0;4149;11638;2913;
2023-02-21 18:12:44;20.35;732.96;42.24;-9.88;17606;0;0;3814.6;4397;28.7;0;4055;11388;2797;
